64 《绿皮书》 (2018)  8.9分  评价数:1194485  短评:去除成见，需要勇气。
65 《本杰明·巴顿奇事》 (2008)  8.9分  评价数:761137  短评:在时间之河里感受溺水之苦。
66 《飞越疯人院》 (1975)  9.1分  评价数:455564  短评:自由万岁。
67 《看不见的客人》 (2016)  8.8分  评价数:921980  短评:你以为你以为的就是你以为的。
68 《海蒂和爷爷》 (2015)  9.2分  评价数:330002  短评:如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
69 《西西里的美丽传说》 (2000)  8.9分  评价数:755740  短评:美丽无罪。
70 《拯救大兵瑞恩》 (1998)  9.0分  评价数:499831  短评:美利坚精神输出大片No1.
71 《小鞋子》 (1997)  9.2分  评价数:312687  短评:奔跑的孩子是天使。
72 《穿条纹睡衣的男孩》 (2008)  9.1分  评价数:389745  短评:尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
73 《情书》 (1995)  8.9分  评价数:698531  短评:暗恋的极致。
74 《音乐之声》 (1965)  9.0分  评价数:461465  短评:用音乐化解仇恨，让歌声串起美好。
75 《海豚湾》 (2009)  9.3分  评价数:299257  短评:海豚的微笑，是世界上最高明的伪装。
76 《美国往事》 (1984)  9.2分  评价数:323493  短评:往事如烟，无处祭奠。
77 《致命魔术》 (2006)  8.9分  评价数:666136  短评:孪生蝙蝠侠大战克隆金刚狼。
78 《沉默的羔羊》 (1991)  8.9分  评价数:656084  短评:安东尼·霍普金斯的顶级表演。
79 《低俗小说》 (1994)  8.9分  评价数:643017  短评:故事的高级讲法。
80 《禁闭岛》 (2010)  8.8分  评价数:728900  短评:昔日翩翩少年，今日大腹便便。
81 《蝴蝶效应》 (2004)  8.8分  评价数:721235  短评:人的命运被自己瞬间的抉择改变。
82 《七宗罪》 (1995)  8.8分  评价数:753170  短评:警察抓小偷，老鼠玩死猫。
83 《心灵捕手》 (1997)  8.9分  评价数:542115  短评:人生中应该拥有这样的一段豁然开朗。
84 《布达佩斯大饭店》 (2014)  8.9分  评价数:684929  短评:小清新的故事里注入了大历史的情怀。
85 《春光乍泄》 (1997)  8.9分  评价数:483812  短评:爱情纠缠，男女一致。
86 《被嫌弃的松子的一生》 (2006)  8.9分  评价数:573468  短评:以戏谑来戏谑戏谑。
87 《摩登时代》 (1936)  9.3分  评价数:220101  短评:大时代中的人生，小人物的悲喜。
88 《阿凡达》 (2009)  8.7分  评价数:1018476  短评:绝对意义上的美轮美奂。
89 《哈利·波特与死亡圣器(下)》 (2011)  8.9分  评价数:594094  短评:10年的完美句点。
90 《喜剧之王》 (1999)  8.8分  评价数:734209  短评:我是一个演员。
91 《剪刀手爱德华》 (1990)  8.7分  评价数:857516  短评:浪漫忧郁的成人童话。
92 《致命ID》 (2003)  8.8分  评价数:615315  短评:最不可能的那个人永远是最可能的。
93 《勇敢的心》 (1995)  8.9分  评价数:470497  短评:史诗大片的典范。
94 《加勒比海盗》 (2003)  8.8分  评价数:679866  短评:约翰尼·德普的独角戏。
95 《杀人回忆》 (2003)  8.9分  评价数:518827  短评:关于连环杀人悬案的集体回忆。
96 《狩猎》 (2012)  9.1分  评价数:283710  短评:人言可畏。
97 《天使爱美丽》 (2001)  8.7分  评价数:813872  短评:法式小清新。 
98 《请以你的名字呼唤我》 (2017)  8.9分  评价数:508823  短评:沉醉在电影的情感和视听氛围中无法自拔。
99 《断背山》 (2005)  8.8分  评价数:570805  短评:每个人心中都有一座断背山。
100 《7号房的礼物》 (2013)  8.9分  评价数:414147  短评:《我是山姆》的《美丽人生》。
101 《红辣椒》 (2006)  9.0分  评价数:319219  短评:梦的勾结。
102 《幽灵公主》 (1997)  8.9分  评价数:420510  短评:人与自然的战争史诗。
103 《小森林 夏秋篇》 (2014)  9.0分  评价数:326805  短评:那些静得只能听见呼吸的日子里，你明白孤独即生活。
104 《阳光灿烂的日子》 (1994)  8.8分  评价数:485205  短评:一场华丽的意淫。
105 《第六感》 (1999)  8.9分  评价数:424532  短评:深入内心的恐怖，出人意料的结局。
106 《重庆森林》 (1994)  8.7分  评价数:614066  短评:寂寞没有期限。
